Search Name:	timsTOF_JX_Mouse_10ng_90min_msconvert/results1
			timsTOF_JX_Mouse_10ng_90min_msconvert/results1					
[1366]		Q9D7Z3	NOL7_MOUSE	1	5.5	5.6e-5	28970.2	MOUSE	Nucleolar protein 7
[1367]		Q6ZPR5	NSMA3_MOUSE	1	1.5	5.0e-6	93276.7	MOUSE	Sphingomyelin phosphodiesterase 4
[1368]		Q9CR16	PPID_MOUSE	5	11.6	3.4e-5	40742.9	MOUSE	Peptidyl-prolyl cis-trans isomerase D
[1369]		Q9WUM3	COR1B_MOUSE	3	9.3	3.2e-6	53912.7	MOUSE	Coronin-1B
[1370]		P36423	THAS_MOUSE	1	2.3	2.1e-5	60391.6	MOUSE	Thromboxane-A synthase
[1371]		O55128	SAP18_MOUSE	2	8.5	3.5e-5	17595.3	MOUSE	Histone deacetylase complex subunit SAP18
[1372]		P12787	COX5A_MOUSE	2	6.8	3.2e-4	16101.6	MOUSE	Cytochrome c oxidase subunit 5A, mitochondrial
[1373]		Q9CY27	TECR_MOUSE	4	12.0	3.7e-5	36090.8	MOUSE	Very-long-chain enoyl-CoA reductase
[1374]		P22892	AP1G1_MOUSE	2	2.8	1.3e-5	91351.3	MOUSE	AP-1 complex subunit gamma-1
[1375]		Q3U5Q7	CMPK2_MOUSE	4	11.0	2.4e-5	50036.7	MOUSE	UMP-CMP kinase 2, mitochondrial
[1376]		Q6A4J8	UBP7_MOUSE	4	4.4	5.3e-6	128476.3	MOUSE	Ubiquitin carboxyl-terminal hydrolase 7
[1377]		Q9QYC0	ADDA_MOUSE	4	6.0	5.2e-4	80647.2	MOUSE	Alpha-adducin
[1378]		Q3UIA2	RHG17_MOUSE	2	2.2	6.6e-5	92202.9	MOUSE	Rho GTPase-activating protein 17
[1379]		P59325	IF5_MOUSE	1	2.6	6.6e-5	48968.8	MOUSE	Eukaryotic translation initiation factor 5
[1380]		P98083	SHC1_MOUSE	2	4.7	1.4e-5	62608.5	MOUSE	SHC-transforming protein 1
[1381]		P27870	VAV_MOUSE	5	5.7	5.4e-5	98137.7	MOUSE	Proto-oncogene vav
[1382]		Q68FL4	SAHH3_MOUSE	1	2.0	2.3e-5	66900.0	MOUSE	Putative adenosylhomocysteinase 3
[1383]		O88842-2	FGD3_MOUSE	1	1.9	8.7e-6	58758.8	MOUSE	Isoform 2 of FYVE, RhoGEF and PH domain-containing protein 3
[1383-1]	1	O88842	FGD3_MOUSE	2	2.9	8.7e-6	80624.7	MOUSE	FYVE, RhoGEF and PH domain-containing protein 3
[1384]		Q8CGK3	LONM_MOUSE	1	1.3	1.2e-4	105843.6	MOUSE	Lon protease homolog, mitochondrial
[1385]		O88746	TOM1_MOUSE	1	2.6	3.2e-5	54325.6	MOUSE	Target of Myb protein 1
[1386]		Q5XG71	UTP20_MOUSE	1	0.6	5.0e-5	317747.0	MOUSE	Small subunit processome component 20 homolog
[1387]		Q8CDG3	VCIP1_MOUSE	2	2.5	4.7e-5	134504.1	MOUSE	Deubiquitinating protein VCIP135
[1388]		P12815	PDCD6_MOUSE	1	6.3	4.0e-5	21867.6	MOUSE	Programmed cell death protein 6
[1389]		P14576	SRP54_MOUSE	1	2.4	4.8e-5	55721.3	MOUSE	Signal recognition particle 54 kDa protein
[1390]		P19536	COX5B_MOUSE	2	10.2	4.6e-5	13813.0	MOUSE	Cytochrome c oxidase subunit 5B, mitochondrial
[1391]		O08583	THOC4_MOUSE	1	4.3	1.4e-4	26940.2	MOUSE	THO complex subunit 4
[1392]		Q9QYJ0	DNJA2_MOUSE	2	5.6	2.6e-5	45746.0	MOUSE	DnaJ homolog subfamily A member 2
[1393]		P31324	KAP3_MOUSE	1	3.8	2.0e-5	46167.5	MOUSE	cAMP-dependent protein kinase type II-beta regulatory subunit
[1394]		Q9JIW9	RALB_MOUSE	1	6.8	2.8e-5	23349.7	MOUSE	Ras-related protein Ral-B
[1395]		Q9CY50	SSRA_MOUSE	1	3.8	8.7e-6	32065.3	MOUSE	Translocon-associated protein subunit alpha
[1396]		Q9WU00	NRF1_MOUSE	1	2.4	3.4e-5	53571.5	MOUSE	Nuclear respiratory factor 1
[1397]		O88958	GNPI1_MOUSE	1	4.2	7.7e-5	32549.6	MOUSE	Glucosamine-6-phosphate isomerase 1
[1398]		Q8BIQ5	CSTF2_MOUSE	5	10.0	7.4e-5	61341.8	MOUSE	Cleavage stimulation factor subunit 2
[1399]		P16254	SRP14_MOUSE	1	13.6	6.8e-5	12509.8	MOUSE	Signal recognition particle 14 kDa protein
[1400]		Q60780	GAS7_MOUSE	1	3.1	1.1e-4	48173.9	MOUSE	Growth arrest-specific protein 7
[1401]		P97369	NCF4_MOUSE	4	13.3	9.3e-5	38707.6	MOUSE	Neutrophil cytosol factor 4
[1402]		Q60634	FLOT2_MOUSE	1	2.8	2.7e-5	47038.4	MOUSE	Flotillin-2
[1403]		Q9QUG9	GRP2_MOUSE	2	3.8	1.6e-5	69446.2	MOUSE	RAS guanyl-releasing protein 2
[1404]		Q9R1K9	CETN2_MOUSE	2	12.2	6.6e-4	19796.7	MOUSE	Centrin-2
[1405]		Q8R050	ERF3A_MOUSE	3	5.2	1.6e-5	68626.1	MOUSE	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
[1406]		P22599	A1AT2_MOUSE	3	6.8	3.3e-5	45975.0	MOUSE	Alpha-1-antitrypsin 1-2
[1406-1]	1	P07758	A1AT1_MOUSE	3	6.8	4.7e-4	46003.0	MOUSE	Alpha-1-antitrypsin 1-1
[1406-2]	1	Q00896	A1AT3_MOUSE	3	6.8	4.7e-4	45823.7	MOUSE	Alpha-1-antitrypsin 1-3
[1407]		Q9CZX8	RS19_MOUSE	5	20.7	2.8e-4	16085.6	MOUSE	40S ribosomal protein S19
[1408]		Q9DCZ4	MIC26_MOUSE	1	5.6	1.1e-4	22604.2	MOUSE	MICOS complex subunit Mic26
[1409]		O55142	RL35A_MOUSE	2	10.9	5.5e-5	12553.8	MOUSE	60S ribosomal protein L35a
[1410]		P49935	CATH_MOUSE	1	3.9	1.1e-5	37170.7	MOUSE	Pro-cathepsin H
[1411]		Q9D868	PPIH_MOUSE	1	4.8	3.3e-5	20463.9	MOUSE	Peptidyl-prolyl cis-trans isomerase H
[1412]		Q7TNE3	SPAG7_MOUSE	1	5.7	4.9e-5	25921.5	MOUSE	Sperm-associated antigen 7
[1413]		P67871	CSK2B_MOUSE	1	5.1	1.4e-5	24942.7	MOUSE	Casein kinase II subunit beta
[1414]		Q8K2T1	NMRL1_MOUSE	2	7.8	7.7e-5	34376.4	MOUSE	NmrA-like family domain-containing protein 1
[1415]		Q8R146	APEH_MOUSE	2	3.3	9.3e-5	81581.6	MOUSE	Acylamino-acid-releasing enzyme
[1416]		Q60848	HELLS_MOUSE	3	4.0	4.1e-4	95126.5	MOUSE	Lymphocyte-specific helicase
[1417]		Q9JIF7	COPB_MOUSE	1	1.5	6.8e-5	107067.1	MOUSE	Coatomer subunit beta
[1418]		O70172	PI42A_MOUSE	1	3.7	8.7e-4	46151.9	MOUSE	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
[1419]		P84084	ARF5_MOUSE	2	13.9	3.0e-4	20529.8	MOUSE	ADP-ribosylation factor 5
[1420]		P70697	DCUP_MOUSE	1	2.7	6.1e-6	40692.2	MOUSE	Uroporphyrinogen decarboxylase
[1421]		Q9CQT1	MTNA_MOUSE	1	3.3	4.1e-5	39411.2	MOUSE	Methylthioribose-1-phosphate isomerase
[1422]		Q9JLQ2	GIT2_MOUSE	7	10.9	2.0e-5	78766.6	MOUSE	ARF GTPase-activating protein GIT2
[1423]		Q9R1J0	NSDHL_MOUSE	1	2.8	2.0e-5	40686.3	MOUSE	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating
[1424]		Q9CX84	RGS19_MOUSE	1	5.1	4.2e-5	24678.0	MOUSE	Regulator of G-protein signaling 19
[1425]		Q8BGC0	HTSF1_MOUSE	1	1.5	1.3e-5	86240.6	MOUSE	HIV Tat-specific factor 1 homolog
[1426]		Q6P5G6	UBXN7_MOUSE	1	3.0	7.2e-5	52164.7	MOUSE	UBX domain-containing protein 7
[1427]		E9Q394	AKP13_MOUSE	1	0.6	3.1e-5	303978.3	MOUSE	A-kinase anchor protein 13
[1428]		Q9EQ06	DHB11_MOUSE	1	5.0	3.1e-5	32880.9	MOUSE	Estradiol 17-beta-dehydrogenase 11
[1429]		Q9DCJ5	NDUA8_MOUSE	2	17.4	2.9e-5	19992.3	MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
[1430]		Q8C0C7	SYFA_MOUSE	1	2.2	1.0e-4	57599.4	MOUSE	Phenylalanine--tRNA ligase alpha subunit
[1431]		P97376	FRG1_MOUSE	4	20.2	1.5e-4	29127.5	MOUSE	Protein FRG1
[1432]		Q99LD8	DDAH2_MOUSE	1	4.9	6.9e-5	29646.1	MOUSE	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2
[1433]		P29533	VCAM1_MOUSE	1	1.6	1.5e-5	81318.2	MOUSE	Vascular cell adhesion protein 1
[1434]		P01921	HB2D_MOUSE	1	6.0	1.1e-4	29954.3	MOUSE	H-2 class II histocompatibility antigen, A-D beta chain
[1435]		Q62431	ARI3A_MOUSE	1	4.0	2.6e-5	64173.3	MOUSE	AT-rich interactive domain-containing protein 3A
[1436]		Q9R1Z7	PTPS_MOUSE	1	9.7	1.2e-5	16188.6	MOUSE	6-pyruvoyl tetrahydrobiopterin synthase
[1437]		Q9JHU9	INO1_MOUSE	1	1.8	4.0e-5	60932.1	MOUSE	Inositol-3-phosphate synthase 1
[1438]		P97370	AT1B3_MOUSE	1	4.3	8.3e-4	31776.0	MOUSE	Sodium/potassium-transporting ATPase subunit beta-3
[1439]		O35691	PININ_MOUSE	2	2.8	3.0e-4	82436.3	MOUSE	Pinin
[1440]		P61759	PFD3_MOUSE	1	4.6	3.9e-5	22435.8	MOUSE	Prefoldin subunit 3
[1441]		Q7TNG5	EMAL2_MOUSE	1	1.5	6.6e-5	70734.3	MOUSE	Echinoderm microtubule-associated protein-like 2
[1442]		Q6P9Q6	FKB15_MOUSE	3	2.8	2.5e-4	132962.0	MOUSE	FK506-binding protein 15
[1443]		Q3U2S8	HVCN1_MOUSE	1	4.1	1.8e-4	31242.6	MOUSE	Voltage-gated hydrogen channel 1
[1444]		Q8R4V1	NFAM1_MOUSE	1	5.7	1.6e-4	29988.0	MOUSE	NFAT activation molecule 1
[1445]		Q6PHZ2	KCC2D_MOUSE	1	3.2	2.3e-5	56369.9	MOUSE	Calcium/calmodulin-dependent protein kinase type II subunit delta
[1446]		P04184	KITH_MOUSE	1	4.3	4.0e-5	25776.1	MOUSE	Thymidine kinase, cytosolic
[1447]		Q9CQ22	LTOR1_MOUSE	1	7.5	2.2e-4	17749.0	MOUSE	Ragulator complex protein LAMTOR1
[1448]		Q9CY66	GAR1_MOUSE	1	3.9	1.8e-5	23474.2	MOUSE	H/ACA ribonucleoprotein complex subunit 1
[1449]		Q9CQ01	RNT2_MOUSE	3	10.0	1.1e-4	29609.1	MOUSE	Ribonuclease T2
[1450]		P97452	BOP1_MOUSE	1	2.3	8.5e-5	82546.3	MOUSE	Ribosome biogenesis protein BOP1
[1451]		Q99N16	CP4F3_MOUSE	1	2.1	7.5e-5	59843.3	MOUSE	Leukotriene-B(4) omega-hydroxylase 2
[1452]		Q9JIM1	S29A1_MOUSE	1	2.6	6.1e-5	50192.8	MOUSE	Equilibrative nucleoside transporter 1
[1453]		P50518	VATE1_MOUSE	1	4.9	8.2e-5	26157.6	MOUSE	V-type proton ATPase subunit E 1
[1454]		Q9ET30	TM9S3_MOUSE	1	1.9	2.6e-5	67545.5	MOUSE	Transmembrane 9 superfamily member 3
[1455]		Q3ULJ0	GPD1L_MOUSE	2	6.0	1.6e-4	38225.9	MOUSE	Glycerol-3-phosphate dehydrogenase 1-like protein
[1456]		Q8BUK6	HOOK3_MOUSE	2	4.0	3.8e-4	83218.6	MOUSE	Protein Hook homolog 3
[1457]		Q8BZQ2	CRLD2_MOUSE	3	10.5	3.8e-6	55432.9	MOUSE	Cysteine-rich secretory protein LCCL domain-containing 2
[1458]		Q9R257	HEBP1_MOUSE	2	15.8	6.8e-4	21067.0	MOUSE	Heme-binding protein 1
[1459]		Q8K2Z4	CND1_MOUSE	1	0.8	1.1e-5	155666.4	MOUSE	Condensin complex subunit 1
[1460]		P01843	LAC1_MOUSE	1	16.2	4.8e-4	11574.9	MOUSE	Ig lambda-1 chain C region
[1461]		P99026	PSB4_MOUSE	2	9.5	1.1e-5	29116.4	MOUSE	Proteasome subunit beta type-4
[1462]		Q3TLH4	PRC2C_MOUSE	1	0.4	2.5e-4	310894.7	MOUSE	Protein PRRC2C
[1463]		Q9D172	ES1_MOUSE	1	5.6	3.0e-5	28090.7	MOUSE	ES1 protein homolog, mitochondrial
[1464]		Q60902	EP15R_MOUSE	1	1.3	5.0e-5	99309.5	MOUSE	Epidermal growth factor receptor substrate 15-like 1
[1465]		P16879	FES_MOUSE	2	2.8	4.7e-4	93779.4	MOUSE	Tyrosine-protein kinase Fes/Fps
[1466]		Q6Y7W8	GGYF2_MOUSE	1	1.1	9.0e-5	149193.9	MOUSE	GRB10-interacting GYF protein 2
[1467]		P41241	CSK_MOUSE	3	7.8	5.6e-4	50716.8	MOUSE	Tyrosine-protein kinase CSK
[1468]		Q8BMS9	RASF2_MOUSE	3	12.3	6.7e-4	37973.7	MOUSE	Ras association domain-containing protein 2
[1469]		Q61093	CY24B_MOUSE	4	5.8	9.6e-5	65305.2	MOUSE	Cytochrome b-245 heavy chain
[1470]		Q62426	CYTB_MOUSE	2	32.7	1.3e-4	11045.7	MOUSE	Cystatin-B
[1471]		Q7TQH0	ATX2L_MOUSE	1	1.2	1.9e-4	110649.7	MOUSE	Ataxin-2-like protein
[1472]		Q99LL5	PWP1_MOUSE	1	2.4	1.8e-5	55587.1	MOUSE	Periodic tryptophan protein 1 homolog
[1473]		Q3V0T4	ITAD_MOUSE	1	1.2	2.1e-5	127829.8	MOUSE	Integrin alpha-D
[1474]		Q7TT45	RRAGD_MOUSE	1	2.7	3.0e-4	51232.5	MOUSE	Ras-related GTP-binding protein D
[1475]		Q91YP3	DEOC_MOUSE	1	4.1	7.5e-5	34975.7	MOUSE	Deoxyribose-phosphate aldolase
[1476]		P97825	HN1_MOUSE	1	9.7	3.9e-5	16080.7	MOUSE	Hematological and neurological expressed 1 protein
[1477]		Q09200	B4GN1_MOUSE	2	4.7	1.1e-5	59212.4	MOUSE	Beta-1,4 N-acetylgalactosaminyltransferase 1
[1478]		Q78IK4	MIC27_MOUSE	1	4.2	6.6e-5	29261.0	MOUSE	MICOS complex subunit Mic27
[1479]		Q62465	VAT1_MOUSE	4	11.8	4.3e-5	43097.0	MOUSE	Synaptic vesicle membrane protein VAT-1 homolog
[1480]		Q8BYA0	TBCD_MOUSE	1	1.1	1.7e-4	133322.3	MOUSE	Tubulin-specific chaperone D
[1481]		Q8BYI6	PCAT2_MOUSE	1	2.4	7.0e-5	60254.3	MOUSE	Lysophosphatidylcholine acyltransferase 2
[1482]		Q60770-2	STXB3_MOUSE	1	2.8	9.6e-5	61678.9	MOUSE	Isoform 2 of Syntaxin-binding protein 3
[1482-1]	1	Q60770	STXB3_MOUSE	2	5.1	9.6e-5	67943.1	MOUSE	Syntaxin-binding protein 3
[1483]		P70303	PYRG2_MOUSE	2	3.9	2.7e-5	65515.0	MOUSE	CTP synthase 2
[1484]		P67778	PHB_MOUSE	2	7.7	4.7e-4	29820.3	MOUSE	Prohibitin
[1485]		Q8VCM7	FIBG_MOUSE	1	3.0	2.9e-5	49391.9	MOUSE	Fibrinogen gamma chain
[1486]		Q9DCC4	P5CR3_MOUSE	1	4.7	8.3e-5	28721.5	MOUSE	Pyrroline-5-carboxylate reductase 3
[1487]		Q9WVE8	PACN2_MOUSE	2	4.7	1.2e-4	55833.3	MOUSE	Protein kinase C and casein kinase substrate in neurons protein 2
[1488]		O35344	IMA4_MOUSE	1	2.1	1.8e-4	57773.3	MOUSE	Importin subunit alpha-4
[1489]		Q8BTS4	NUP54_MOUSE	2	5.1	3.8e-5	55732.3	MOUSE	Nuclear pore complex protein Nup54
[1490]		Q9D0N7	CAF1B_MOUSE	1	2.4	3.8e-5	63132.7	MOUSE	Chromatin assembly factor 1 subunit B
[1491]		Q6ZQ08	CNOT1_MOUSE	1	0.5	2.9e-5	266810.2	MOUSE	CCR4-NOT transcription complex subunit 1
[1492]		Q8R5A3	AB1IP_MOUSE	2	2.7	8.6e-5	74319.9	MOUSE	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
[1493]		Q9CPT4	MYDGF_MOUSE	1	5.4	3.2e-5	17982.5	MOUSE	Myeloid-derived growth factor
[1494]		P46062	SIPA1_MOUSE	2	2.6	1.8e-4	112066.9	MOUSE	Signal-induced proliferation-associated protein 1
[1495]		Q91YI4	ARRB2_MOUSE	3	8.3	3.9e-6	46314.4	MOUSE	Beta-arrestin-2
[1496]		P62748	HPCL1_MOUSE	2	12.4	5.9e-4	22338.4	MOUSE	Hippocalcin-like protein 1
[1497]		Q9QZE5	COPG1_MOUSE	1	1.1	4.8e-5	97513.7	MOUSE	Coatomer subunit gamma-1
[1498]		P58389	PTPA_MOUSE	2	8.0	5.4e-4	36710.5	MOUSE	Serine/threonine-protein phosphatase 2A activator
[1499]		Q91VY9	ZN622_MOUSE	1	3.2	6.2e-5	53451.6	MOUSE	Zinc finger protein 622
[1500]		Q9Z0M5	LICH_MOUSE	1	2.5	1.5e-4	45325.9	MOUSE	Lysosomal acid lipase/cholesteryl ester hydrolase
[1501]		Q80TY0	FNBP1_MOUSE	2	3.7	1.2e-4	71344.4	MOUSE	Formin-binding protein 1
[1502]		Q8C129	LCAP_MOUSE	1	1.3	2.5e-4	117304.9	MOUSE	Leucyl-cystinyl aminopeptidase
[1503]		Q9DBR1	XRN2_MOUSE	1	1.2	2.2e-4	108688.4	MOUSE	5'-3' exoribonuclease 2
[1504]		O88665	BRD7_MOUSE	1	2.3	1.5e-5	74000.5	MOUSE	Bromodomain-containing protein 7
[1505]		Q8BFZ9	ERLN2_MOUSE	1	3.5	3.5e-4	37872.9	MOUSE	Erlin-2
[1506]		Q8CFI7	RPB2_MOUSE	1	1.0	9.0e-5	133911.8	MOUSE	DNA-directed RNA polymerase II subunit RPB2
[1507]		Q03963	E2AK2_MOUSE	1	2.7	1.6e-4	58280.4	MOUSE	Interferon-induced, double-stranded RNA-activated protein kinase
[1508]		Q9D358	PPAC_MOUSE	1	7.0	1.8e-4	18191.9	MOUSE	Low molecular weight phosphotyrosine protein phosphatase
[1509]		Q9Z2E1	MBD2_MOUSE	2	3.4	5.9e-6	43501.1	MOUSE	Methyl-CpG-binding domain protein 2
[1510]		Q9CR26	VTA1_MOUSE	1	3.2	2.2e-5	33913.5	MOUSE	Vacuolar protein sorting-associated protein VTA1 homolog
[1511]		Q920E5	FPPS_MOUSE	3	9.6	9.6e-5	40581.9	MOUSE	Farnesyl pyrophosphate synthase
[1512]		Q80VP1	EPN1_MOUSE	1	2.1	3.4e-4	60212.6	MOUSE	Epsin-1
[1513]		O54692	ZW10_MOUSE	1	1.3	6.6e-5	88063.6	MOUSE	Centromere/kinetochore protein zw10 homolog
[1514]		Q91VM9-2	IPYR2_MOUSE	1	6.4	8.2e-5	23273.8	MOUSE	Isoform 2 of Inorganic pyrophosphatase 2, mitochondrial
[1514-1]	1	Q91VM9	IPYR2_MOUSE	2	9.7	8.2e-5	38114.9	MOUSE	Inorganic pyrophosphatase 2, mitochondrial
[1515]		P70195	PSB7_MOUSE	2	7.6	5.8e-5	29891.7	MOUSE	Proteasome subunit beta type-7
[1516]		Q9Z2A7	DGAT1_MOUSE	1	2.2	8.6e-5	56790.6	MOUSE	Diacylglycerol O-acyltransferase 1
[1517]		Q8K0D5	EFGM_MOUSE	1	2.0	4.6e-5	83550.3	MOUSE	Elongation factor G, mitochondrial
[1518]		Q80W54	FACE1_MOUSE	1	2.3	6.9e-5	54735.0	MOUSE	CAAX prenyl protease 1 homolog
[1519]		Q9QUM0	ITA2B_MOUSE	3	3.5	2.3e-4	112679.0	MOUSE	Integrin alpha-IIb
[1520]		decoy	decoy	1	0.3	3.0e-5	579919.4	MOUSE	Zonadhesin
[1521]		Q9CQY5	MAGT1_MOUSE	1	3.0	2.9e-4	37969.9	MOUSE	Magnesium transporter protein 1
[1522]		Q61496	DDX4_MOUSE	2	3.0	4.5e-4	76470.9	MOUSE	Probable ATP-dependent RNA helicase DDX4
[1523]		Q9D662	SC23B_MOUSE	3	5.1	8.3e-5	86437.9	MOUSE	Protein transport protein Sec23B
[1524]		Q2VLH6	C163A_MOUSE	1	1.4	4.1e-5	120922.5	MOUSE	Scavenger receptor cysteine-rich type 1 protein M130
[1525]		Q6PGH1	BUD31_MOUSE	1	9.7	5.0e-5	11905.0	MOUSE	Protein BUD31 homolog
[1526]		Q9ET26	RN114_MOUSE	1	5.7	6.4e-5	25745.6	MOUSE	E3 ubiquitin-protein ligase RNF114
[1527]		Q99LY9	NDUS5_MOUSE	2	23.6	4.0e-5	12647.8	MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
[1528]		Q925I1	ATAD3_MOUSE	1	1.9	2.9e-4	66742.5	MOUSE	ATPase family AAA domain-containing protein 3
[1529]		Q9D958	SPCS1_MOUSE	2	8.1	2.6e-4	18186.3	MOUSE	Signal peptidase complex subunit 1
[1530]		P32261	ANT3_MOUSE	1	2.2	0.0019	52004.0	MOUSE	Antithrombin-III
[1531]		P25799	NFKB1_MOUSE	1	1.9	3.8e-5	105616.3	MOUSE	Nuclear factor NF-kappa-B p105 subunit
[1532]		P11032	GRAA_MOUSE	1	5.0	4.7e-5	28599.5	MOUSE	Granzyme A
[1533]		Q9EQQ2	YIPF5_MOUSE	1	4.7	3.0e-5	27873.4	MOUSE	Protein YIPF5
[1534]		P62869	ELOB_MOUSE	2	17.8	3.7e-4	13170.0	MOUSE	Elongin-B
[1535]		Q8R2U0	SEH1_MOUSE	1	3.9	4.2e-5	39775.1	MOUSE	Nucleoporin SEH1
[1536]		O88447	KLC1_MOUSE	1	2.6	2.3e-4	61450.6	MOUSE	Kinesin light chain 1
[1537]		Q8R349	CDC16_MOUSE	1	2.6	1.4e-4	71460.9	MOUSE	Cell division cycle protein 16 homolog
[1538]		P36536	SAR1A_MOUSE	1	5.6	2.9e-4	22371.1	MOUSE	GTP-binding protein SAR1a
[1539]		P01831	THY1_MOUSE	4	31.5	1.8e-4	18080.1	MOUSE	Thy-1 membrane glycoprotein
[1540]		Q9JJA4	WDR12_MOUSE	2	5.9	1.9e-4	47346.9	MOUSE	Ribosome biogenesis protein WDR12
[1541]		P0CW03	LY6C2_MOUSE	1	13.7	6.5e-5	14090.6	MOUSE	Lymphocyte antigen 6C2
[1542]		Q61102	ABCB7_MOUSE	2	3.3	1.3e-4	82581.6	MOUSE	ATP-binding cassette sub-family B member 7, mitochondrial
[1543]		Q9JHW2	NIT2_MOUSE	1	5.4	1.5e-4	30502.0	MOUSE	Omega-amidase NIT2
[1544]		Q9D906	ATG7_MOUSE	1	2.0	4.8e-5	77520.9	MOUSE	Ubiquitin-like modifier-activating enzyme ATG7
[1545]		Q9WTK5	NFKB2_MOUSE	1	1.8	1.2e-4	96833.1	MOUSE	Nuclear factor NF-kappa-B p100 subunit
[1546]		O54864	SUV91_MOUSE	1	2.4	3.6e-5	47754.8	MOUSE	Histone-lysine N-methyltransferase SUV39H1
[1547]		P97930	KTHY_MOUSE	1	5.7	1.1e-4	23914.7	MOUSE	Thymidylate kinase
[1548]		Q99ME9	NOG1_MOUSE	2	3.5	2.6e-4	74113.4	MOUSE	Nucleolar GTP-binding protein 1
[1549]		P15530	CD79B_MOUSE	1	6.1	2.5e-4	25726.7	MOUSE	B-cell antigen receptor complex-associated protein beta chain
[1550]		Q60766	IRGM1_MOUSE	1	2.4	2.3e-4	46552.2	MOUSE	Immunity-related GTPase family M protein 1
[1551]		Q8BMJ2	SYLC_MOUSE	1	1.0	4.0e-5	134193.6	MOUSE	Leucine--tRNA ligase, cytoplasmic
[1552]		Q9CPP6	NDUA5_MOUSE	2	13.8	5.1e-5	13359.8	MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
[1553]		O08585	CLCA_MOUSE	1	3.4	5.2e-4	25604.3	MOUSE	Clathrin light chain A
[1554]		Q91VX2	UBAP2_MOUSE	1	1.3	7.4e-4	117966.9	MOUSE	Ubiquitin-associated protein 2
[1555]		Q8CHP5	PYM1_MOUSE	1	5.4	3.0e-4	22689.8	MOUSE	Partner of Y14 and mago
[1556]		P97372	PSME2_MOUSE	5	17.6	2.7e-4	27057.5	MOUSE	Proteasome activator complex subunit 2
[1557]		Q08024	PEBB_MOUSE	1	5.3	1.0e-4	22030.7	MOUSE	Core-binding factor subunit beta
[1558]		Q497L8	S22AG_MOUSE	1	1.8	3.6e-5	73933.8	MOUSE	Solute carrier family 22 member 16
[1559]		Q9QZK7	DOK3_MOUSE	2	6.1	3.5e-4	48027.8	MOUSE	Docking protein 3
[1560]		Q9CWW6	PIN4_MOUSE	3	16.8	1.6e-4	13815.0	MOUSE	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
[1561]		Q9D8Y7	TP8L2_MOUSE	1	7.6	1.6e-4	20615.0	MOUSE	Tumor necrosis factor alpha-induced protein 8-like protein 2
[1562]		Q9DB05	SNAA_MOUSE	2	6.8	6.8e-4	33190.0	MOUSE	Alpha-soluble NSF attachment protein
[1563]		Q3UHX2	HAP28_MOUSE	2	6.1	2.6e-4	20605.0	MOUSE	28 kDa heat- and acid-stable phosphoprotein
[1564]		Q9JLZ3	AUHM_MOUSE	1	3.5	5.3e-5	33395.3	MOUSE	Methylglutaconyl-CoA hydratase, mitochondrial
[1565]		P50431	GLYC_MOUSE	2	4.8	1.9e-4	52601.4	MOUSE	Serine hydroxymethyltransferase, cytosolic
[1566]		E9Q555	RN213_MOUSE	1	0.3	1.5e-4	584789.1	MOUSE	E3 ubiquitin-protein ligase RNF213
[1567]		A6PWY4	WDR76_MOUSE	1	2.3	4.5e-4	69007.9	MOUSE	WD repeat-containing protein 76
[1568]		P61620	S61A1_MOUSE	1	2.3	2.3e-4	52265.2	MOUSE	Protein transport protein Sec61 subunit alpha isoform 1
[1569]		P09055	ITB1_MOUSE	1	1.6	1.3e-4	88232.2	MOUSE	Integrin beta-1
[1570]		Q8BVA5	LDAH_MOUSE	1	4.0	1.1e-4	37374.3	MOUSE	Lipid droplet-associated hydrolase
[1571]		Q8BJY1	PSMD5_MOUSE	1	3.0	4.7e-5	55972.6	MOUSE	26S proteasome non-ATPase regulatory subunit 5
[1572]		Q8VEK0	CC50A_MOUSE	1	4.4	2.0e-4	41061.3	MOUSE	Cell cycle control protein 50A
[1573]		P35123	UBP4_MOUSE	1	1.1	3.1e-4	108343.8	MOUSE	Ubiquitin carboxyl-terminal hydrolase 4
[1574]		Q8VDD9	PHIP_MOUSE	1	1.0	9.1e-5	206727.9	MOUSE	PH-interacting protein
[1575]		P62843	RS15_MOUSE	1	8.3	2.4e-4	17040.3	MOUSE	40S ribosomal protein S15
[1576]		Q91VS7	MGST1_MOUSE	1	8.4	8.2e-5	17551.8	MOUSE	Microsomal glutathione S-transferase 1
[1577]		Q9CZM2	RL15_MOUSE	5	18.1	6.1e-5	24146.3	MOUSE	60S ribosomal protein L15
[1578]		Q8BQ30	PPR18_MOUSE	1	2.0	4.0e-4	65630.1	MOUSE	Phostensin
[1579]		Q6PDL0	DC1L2_MOUSE	3	8.5	1.1e-5	54218.9	MOUSE	Cytoplasmic dynein 1 light intermediate chain 2
